0000000000000000,3853
1000000000000000,4
0100000000000000,9
0010000000000000,19
1010000000000000,1
0110000000000000,8
0001000000000000,32
0101000000000000,1
0011000000000000,3
0000100000000000,216
1000100000000000,1
0100100000000000,3
1100100000000000,1
0010100000000000,7
0110100000000000,7
0001100000000000,6
0101100000000000,3
0011100000000000,2
1011100000000000,1
0111100000000000,1
0000010000000000,22
0100010000000000,3
0010010000000000,1
0110010000000000,1
1110010000000000,1
0001010000000000,1
0111010000000000,1
0000110000000000,26
0100110000000000,3
0010110000000000,4
0110110000000000,4
1110110000000000,2
0001110000000000,3
0011110000000000,1
0111110000000000,1
1111110000000000,5
0000001000000000,1107
1000001000000000,2
0100001000000000,13
0010001000000000,20
0110001000000000,2
0001001000000000,27
0101001000000000,1
0011001000000000,1
0111001000000000,2
0000101000000000,188
1000101000000000,1
0100101000000000,6
0010101000000000,9
1010101000000000,1
0110101000000000,2
0001101000000000,17
0011101000000000,2
0111101000000000,1
1111101000000000,1
0000011000000000,21
0100011000000000,1
0010011000000000,2
1010011000000000,1
0110011000000000,1
0001011000000000,4
0101011000000000,1
0111011000000000,1
0000111000000000,20
1000111000000000,1
0010111000000000,6
0110111000000000,3
0001111000000000,1
1001111000000000,1
0101111000000000,2
0111111000000000,3
1111111000000000,6
0000001100000000,10
0000101100000000,4
0000011100000000,1
0001111100000000,1
0000000010000000,10
0010000010000000,1
0000100010000000,1
0000001010000000,82
0010001010000000,1
0110001010000000,1
0001001010000000,1
0000101010000000,10
1000101010000000,1
0001101010000000,2
0000011010000000,3
0100011010000000,1
0110011010000000,1
0000111010000000,1
0010111010000000,1
0001111010000000,1
0000001110000000,15
0100001110000000,1
0110001110000000,1
1101001110000000,1
0000101110000000,1
0110101110000000,1
0001101110000000,2
0000111110000000,1
0010111110000000,1
0110111110000000,1
0101111110000000,1
0000000001000000,6
0000100001000000,1
0110110001000000,1
0000001001000000,19
0000101001000000,3
1000101001000000,2
0000001101000000,4
1111111101000000,1
0000001011000000,10
0000101011000000,2
0100101011000000,1
0000111011000000,1
0001111011000000,1
1111111011000000,1
0000001111000000,2
0000101111000000,2
0001101111000000,1
0111101111000000,1
0010011111000000,1
0011111111000000,1
0111111111000000,1
0000000000100000,45
1000000000100000,1
0100000000100000,1
0001000000100000,1
0000100000100000,9
0100100000100000,1
0010100000100000,1
0001100000100000,1
0000010000100000,2
0000110000100000,3
0110110000100000,1
0000001000100000,122
0100001000100000,1
0010001000100000,1
0001001000100000,3
0111001000100000,1
0000101000100000,44
1000101000100000,2
0100101000100000,1
0010101000100000,1
0110101000100000,2
0001101000100000,1
0101101000100000,2
0011101000100000,1
1111101000100000,1
0000011000100000,2
0000111000100000,2
0010111000100000,1
1111111000100000,1
0000001100100000,3
0000101100100000,1
0100101100100000,1
0000000010100000,5
0010000010100000,1
0000100010100000,1
0000001010100000,44
0010001010100000,1
0001001010100000,1
0000101010100000,11
0100101010100000,2
0001101010100000,4
0000111010100000,2
0111111010100000,1
0000001110100000,12
0010001110100000,1
0000101110100000,6
0110101110100000,1
0110111110100000,2
0101111110100000,1
0011111110100000,1
1111111110100000,2
0000000001100000,2
1111110001100000,1
0000001001100000,4
1000001001100000,1
0001001001100000,2
0000101001100000,3
0100101001100000,1
0101101001100000,1
1111111001100000,2
0000001101100000,2
0000101101100000,2
0000000011100000,1
0000001011100000,5
1000001011100000,1
0000101011100000,1
0010011011100000,2
0111111011100000,1
0000001111100000,19
0010001111100000,1
0111001111100000,1
0000101111100000,5
0010101111100000,1
1111101111100000,1
1100011111100000,1
0000111111100000,1
0110111111100000,4
1110111111100000,1
0111111111100000,6
1111111111100000,7
0000000000010000,351
1000000000010000,1
0100000000010000,14
0010000000010000,206
0110000000010000,45
0001000000010000,6
0101000000010000,1
0011000000010000,7
0000100000010000,80
0100100000010000,3
0010100000010000,63
0110100000010000,23
0001100000010000,2
0011100000010000,1
0111100000010000,2
0000010000010000,23
0010010000010000,10
0110010000010000,7
0101010000010000,1
0011010000010000,1
0000110000010000,17
0100110000010000,2
0010110000010000,19
1010110000010000,1
0110110000010000,14
0001110000010000,1
0011110000010000,3
0111110000010000,6
1111110000010000,2
0000001000010000,303
1000001000010000,1
0100001000010000,20
0010001000010000,182
1010001000010000,1
0110001000010000,64
0001001000010000,3
0101001000010000,1
0011001000010000,5
1011001000010000,1
0111001000010000,3
0000101000010000,108
0100101000010000,11
0010101000010000,106
0110101000010000,64
1110101000010000,1
0001101000010000,6
1001101000010000,2
0101101000010000,5
0011101000010000,5
0111101000010000,12
